id	COG	KEGG_KOs	ann_egg
GL50803_114777	G	K08151,K08153,K08161	resistance protein
GL50803_112692	Q	K05641	ATP-binding cassette sub-family A ABC1 member
GL50803_137673	S		Retrotransposon protein
GL50803_50143	S		regulation of RNA biosynthetic process
GL50803_16823	O	K03030	26S proteasome, non-ATPase regulatory subunit
GL50803_15035	S		Ankyrin Repeat
GL50803_16824	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_16826	T		protein kinase
GL50803_15041	P	K06997	Proline synthetase co-transcribed homolog (Bacterial)
GL50803_15042	A	K14406	cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa
GL50803_16829	D, T, Z	K06268,K12750,K17610	Calcium-binding protein
GL50803_9778	S	K06682,K07976	GTP-Binding protein
GL50803_9779	F	K00757	phosphorylase
GL50803_15046	J	K02898	Ribosomal protein
GL50803_16830	S		Inherit from NOG: keratin, type II cytoskeletal
GL50803_101138	Z	K10408	heavy chain
GL50803_8468	S	K07124	Dehydrogenase
GL50803_97072	E	K10645	Ankyrin Repeat
GL50803_12109	I	K13510,K13512	Lysophosphatidylcholine acyltransferase
GL50803_12108	E	K01754	dehydratase
GL50803_12102	J	K03233	Elongation factor
GL50803_15576	E	K06653,K09257,K14508,K19626	Ankyrin Repeat
GL50803_12095	T	K08863	NIMA-related kinase
GL50803_12091	V	K07253	Macrophage migration inhibitory factor
GL50803_15574	O		dipeptidylpeptidase
GL50803_12089	T	K08860,K16196	ser thr protein kinase
GL50803_17497	A	K12823,K13178	(RNA) helicase
GL50803_12082	H	K01011,K01942,K03011,K03523,K03524	Biotin- acetyl-CoA-carboxylase ligase
GL50803_12081	O	K09667	Tetratricopeptide repeat
GL50803_12071	D	K03529	Required for chromosome condensation and partitioning (By similarity)
GL50803_17495	L	K10866	DNA repair protein
GL50803_15567	U	K07877,K07878,K07976	Ras-related protein
GL50803_12063	G		glycoside hydrolase family 45 protein
GL50803_15566	J	K14859	Ribosome biogenesis protein
GL50803_12057	S	K16569,K16570	Tubulin, gamma complex associated protein
GL50803_12055	J	K03234,K14536	Elongation factor
GL50803_15564	O		cathepsin
GL50803_103454	U		High cysteine membrane protein Group 1
GL50803_13452	A	K14326	Regulator of nonsense transcripts
GL50803_13455			
GL50803_94653	A	K14558	periodic tryptophan protein
GL50803_13220	L	K14805	atp-dependent rna helicase
GL50803_94658	Y	K13025,K14015	Nuclear protein localization
GL50803_32879	L		RecF/RecN/SMC N terminal domain
GL50803_94662	B, K	K15503	ankyrin repeat, family A (RFXANK-like), 2
GL50803_3546	T	K08805,K13412	calcium-dependent protein kinase
GL50803_17483	O		DNAj (Hsp40) homolog, subfamily B, member
GL50803_1770	J	K02435,K15456	KTI12 homolog, chromatin associated (S. cerevisiae)
GL50803_17482	O	K09496	T-complex protein 1 subunit delta
GL50803_17480	J	K00791	isopentenyltransferase
GL50803_13914	U	K15445	vacuolar import and degradation protein
GL50803_21942	E	K00261,K00262	glutamate dehydrogenase
GL50803_17478	Z	K10408,K10413	heavy chain
GL50803_11355	E	K10645	Ankyrin Repeat
GL50803_11359	J	K02987	ribosomal protein S4
GL50803_15406			
GL50803_94582	E	K01581	ornithine decarboxylase
GL50803_11364	T	K13303	ribosomal protein s6 kinase
GL50803_17476	O	K01341	proprotein convertase subtilisin kexin type
GL50803_17474	S		Inherit from NOG: doublecortin domain containing 5
GL50803_135231	B	K08057,K08516,K11252,K11253	histone H3
GL50803_13225	A	K12845,K14404	zinc finger CCCH-type containing
GL50803_114440	E		Ankyrin Repeat
GL50803_21924	B, K	K08805,K13412,K15503	ankyrin repeat, family A (RFXANK-like), 2
GL50803_114442	E	K06653	Ankyrin Repeat
GL50803_104994	S	K16365	tetratricopeptide repeat domain
GL50803_60565	T	K06684,K06686,K08282	S_TK_X
GL50803_7296	A		small nuclear ribonucleoprotein
GL50803_7287	S	K16365	tetratricopeptide repeat domain
GL50803_14413	K	K02912,K03007,K11313	Dna-directed RNA
GL50803_60567	P		Got1/Sft2-like family
GL50803_16443	T	K11584	Protein phosphatase 2, regulatory subunit B
GL50803_41942	O		proprotein convertase subtilisin kexin type
GL50803_60569	T		calcium-dependent protein kinase
GL50803_16444	B, K	K15503	ankyrin repeat, family A (RFXANK-like), 2
GL50803_9259	A	K12849,K12851	PRP38 family
GL50803_9262	U		Grip
GL50803_14916	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_9266	L	K03654,K10901	DNA helicase
GL50803_9270	V	K06639	PHOsphatase
GL50803_31576	O	K10579,K10687	ubiquitin-conjugating enzyme
GL50803_9272	S	K16602	Tubulin tyrosine ligase-like family, member
GL50803_9274	A	K14559	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)
GL50803_28779	Z	K19750	Cilium-specific protein required for cilia structures (By similarity)
GL50803_9276	O	K07762,K08647	whole genome shotgun sequence
GL50803_102813	E		Ankyrin Repeat
GL50803_40591	S		regulation of RNA biosynthetic process
GL50803_115202	U		High cysteine membrane protein Group 1
GL50803_27747	C	K00101,K00326	cytochrome b5 reductase
GL50803_17249	S		Inherit from NOG: Viral A-type inclusion protein
GL50803_3643	O	K01802,K09568,K09571	Peptidyl-prolyl cis-trans isomerase
GL50803_17250	M		Ankyrin Repeat Protein
GL50803_17251	S	K19672	intraflagellar transport 140 homolog (Chlamydomonas)
GL50803_94478	Q	K05641	ATP-binding cassette sub-family A ABC1 member
GL50803_8716	F	K03787	5'-nucleotidase
GL50803_14764	E	K09257	Ankyrin Repeat
GL50803_8713	I, O, T	K13806	Lipase (class 3)
GL50803_14763	L	K14570	RNA exonuclease
GL50803_8711	M		Zinc finger, DHHC-type containing
GL50803_8708	J	K03236	Seems to be required for maximal rate of protein biosynthesis. Enhances ribosome dissociation into subunits and stabilizes the binding of the initiator Met-tRNA(I) to 40 S ribosomal subunits (By similarity)
GL50803_8707	P	K00670,K13177	complex ard1 subunit
GL50803_17254	G	K01835,K11809,K15779	phosphoglucomutase
GL50803_8705	J		Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs (By similarity)
GL50803_4928	S		ring finger and CHY zinc finger
GL50803_13777	O	K14575	cell division cycle protein 48
GL50803_94440	Z	K10408,K10413	heavy chain
GL50803_7309	U	K13216,K13813	syntaxin 12
GL50803_7306	U	K08516	YKT6 v-SNARE homolog (S. cerevisiae)
GL50803_21331	O	K03064	26S protease regulatory subunit
GL50803_13667	A		NACHT domain
GL50803_4602	S	K07124,K11166	Dehydrogenase
GL50803_17574	S		conserved hypothetical protein
GL50803_4606	J	K15437	Aminoacyl tRNA synthetase complex-interacting multifunctional protein 1
GL50803_21327	Q	K05641	ATP-binding cassette sub-family A ABC1 member
GL50803_9541	U	K02332,K10631	trafficking protein particle complex
GL50803_14978	S		Integral membrane protein DUF92
GL50803_103943	S	K05635	Laminin, alpha
GL50803_115232	D		cysteine
GL50803_2538	T	K08286,K08853	associated kinase
GL50803_16180	S	K13617,K18159	Demethylates proteins that have been reversibly carboxymethylated (By similarity)
GL50803_22291	K		Chromosome 2 open reading frame 18
GL50803_3903	M		Ankyrin Repeat Protein
GL50803_33030	Y		Component of the cytosolic iron-sulfur (Fe S) protein assembly machinery. Required for maturation of extramitochondrial Fe S proteins (By similarity)
GL50803_3983	F		5'-nucleotidase
GL50803_3985	D	K15264	NOP2 Sun domain family member
GL50803_7680	M		Ankyrin Repeat Protein
GL50803_7679	B, K	K15503	ankyrin repeat, family A (RFXANK-like), 2
GL50803_14510	M	K15502,K15503	Ankyrin Repeat Protein
GL50803_101168	S		Ankyrin repeat protein
GL50803_34141	O	K10601,K11883	NIN1 RPN12 binding protein 1 homolog (S. cerevisiae)
GL50803_4405	D	K08866	ttk protein kinase
GL50803_16507			
GL50803_16508	T	K05661,K08857,K14242,K15503	NIMA-related kinase
GL50803_16498	S	K14538	guanine nucleotide binding protein-like 3
GL50803_16500	S		Inherit from NOG: sperm associated antigen 16
GL50803_15085	T		thyroid hormone receptor interactor 11
GL50803_9948	O		Proprotein convertase P-domain
GL50803_16501	O	K01359	proprotein convertase subtilisin kexin type
GL50803_d16501	O	K01359	proprotein convertase subtilisin kexin type
GL50803_60596	O		Proprotein convertase P-domain
GL50803_96306			
GL50803_96324	S		Chitin binding Peritrophin-A domain
GL50803_4538	K	K14965	dpy-30 homolog (C. elegans)
GL50803_17121	O	K03283,K09490	heat shock protein
GL50803_6633	H	K00787	farnesyl pyrophosphate
GL50803_27925	S		ANK
GL50803_17126	A	K12829	Splicing factor 3b subunit
GL50803_6455	S		coiled-coil domain containing 113
GL50803_14208	L	K10846	K10846 DNA excision repair protein ERCC-5
GL50803_17130	E	K10645	Ankyrin Repeat
GL50803_6464	S	K08254,K12472	oligomeric mucus gel-forming
GL50803_14212	B	K08057,K08516,K11252,K11253	histone H3
GL50803_112408	U	K14312	nuclear pore complex protein
GL50803_17132	Q	K01509,K05031,K05665,K05666,K05668,K05670,K05671,K05672,K05673,K05674,K10827	ATP-binding cassette, sub-family C (CFTR MRP), member
GL50803_7081	O	K12597	zinc finger, CCHC domain containing 7
GL50803_7082	J	K02971,K10765	40S ribosomal protein S21
GL50803_96363	T		Histidine kinase
GL50803_17146	A	K12598	Superkiller viralicidic activity 2-like
GL50803_5632	J	K03678	3' exoribonuclease family, domain 2
GL50803_5631	L	K11136,K11273	regulator of telomere elongation helicase 1
GL50803_137618	S		VSP with INR
GL50803_17143	G	K00873	Pyruvate kinase
GL50803_6497	S	K00784	Zinc phosphodiesterase, which displays some tRNA 3'- processing endonuclease activity. Probably involved in tRNA maturation, by removing a 3'-trailer from precursor tRNA (By similarity)
GL50803_14225	O	K01341	proprotein convertase subtilisin kexin type
GL50803_15162	O	K10573,K10574	ubiquitin-conjugating enzyme
GL50803_10297	S	K14793	ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast)
GL50803_15164	S	K06883,K19513	GPN-loop GTPase 1
GL50803_17139	T		S_TKc
GL50803_112432	S		FU
GL50803_104250	S		Thioredoxin family
GL50803_14043	S		regulation of RNA biosynthetic process
GL50803_14044	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_5857	H	K09680	PaNtothenate Kinase
GL50803_94927	M	K15502,K15503	Ankyrin Repeat Protein
GL50803_24512	S		Notch ligand involved in the mediation of Notch signaling (By similarity)
GL50803_16228	O	K09537,K11885,K13215	Nuclear receptor interacting protein
GL50803_16227	M		Ankyrin Repeat Protein
GL50803_16225	B	K11126	Telomerase is a ribonucleoprotein enzyme essential for the replication of chromosome termini in most eukaryotes. Active in progenitor and cancer cells. Inactive, or very low activity, in normal somatic cells. Catalytic component of the teleromerase holoenzyme complex whose main activity is the elongation of telomeres by acting as a reverse transcriptase that adds simple sequence repeats to chromosome ends by copying a template sequence within the RNA component of the enzyme. Catalyzes the RNA- dependent extension of 3'-chromosomal termini with the 6- nucleotide telomeric repeat unit, 5'-TTAGGG-3'. The catalytic cycle involves primer binding, primer extension and release of product once the template boundary has been reached or nascent product translocation followed by further extension. More active on substrates containing 2 or 3 telomeric repeats. Telomerase activity is regulated by a number of factors including telomerase complex-associated proteins, chaperones and polypeptide modifiers. Modulates Wnt signaling. Plays important roles in aging and antiapoptosis (By similarity)
GL50803_16224	Z	K10394,K10398	kinesin family member 11
GL50803_16223	K	K03018	DNA-directed RNA Polymerase
GL50803_13393	M		Ankyrin Repeat Protein
GL50803_3570	J	K02979	40s ribosomal protein
GL50803_14091	J	K02875,K12867	ribosomal protein L14
GL50803_6022	J	K02969	Ribosomal protein
GL50803_16672	S	K20032	Ankyrin Repeat
GL50803_16806	A		(RNA) helicase
GL50803_27694	K		C2HC5 finger protein
GL50803_14089	A		Utp13 specific WD40 associated domain
GL50803_22003	T	K08857,K14242	Neurofibromin 1
GL50803_16671	V	K03327	Mate efflux family protein
GL50803_7154	M		Ankyrin Repeat Protein
GL50803_16667	C		synthetase
GL50803_14195	L	K08739,K10858	DNA mismatch repair protein
GL50803_102455	Z	K10403,K14007	Kinesin family member
GL50803_16663	S		chromosome 17 open reading frame 105
GL50803_32933			
GL50803_113987	S	K05635	Laminin, alpha
GL50803_14975	T	K05288,K05310	phosphatidylinositol glycan anchor biosynthesis, class G
GL50803_9529	S	K18932,K20031	Zinc finger, DHHC-type containing 6
GL50803_9528	S	K00599,K17053	methyltransferase like 6
GL50803_17578	S	K08857,K15502,K15503	forebrain astrocyte differentiation
GL50803_89746	J	K01855	tRNA pseudouridine synthase
GL50803_101699	E	K14242	Ankyrin Repeat
GL50803_17579	I	K01858	synthase
GL50803_24860	J	K07562	60S ribosomal export protein
GL50803_13055	M		Ankyrin Repeat Protein
GL50803_5305	M	K15502,K15503	Ankyrin Repeat Protein
GL50803_13890	G		Cat eye syndrome chromosome region, candidate 5
GL50803_60621	E		Ankyrin Repeat
GL50803_92983	E	K06653	Ankyrin Repeat
GL50803_113971	J	K11578,K14863,K15456	Component of the NOP7 complex, which is required for maturation of the 25S and 5.8S ribosomal RNAs and formation of the 60S ribosome (By similarity)
GL50803_113970			
GL50803_22112	K	K04796,K12622	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)
GL50803_17583	S		Adenylate cyclase
GL50803_4164	A	K15429	Specifically methylates the N1 position of guanosine-37 in various cytoplasmic and mitochondrial tRNAs. Methylation is not dependent on the nature of the nucleoside 5' of the target nucleoside. This is the first step in the biosynthesis of wybutosine (yW), a modified base adjacent to the anticodon of tRNAs and required for accurate decoding (By similarity)
GL50803_4165	S		LRR
GL50803_17584	A	K14396	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
GL50803_17585	E	K09257	Ankyrin Repeat
GL50803_17586	B, K	K15503	ankyrin repeat, family A (RFXANK-like), 2
GL50803_91252	P	K00327	Component of the sulfite reductase complex that catalyzes the 6-electron reduction of sulfite to sulfide. This is one of several activities required for the biosynthesis of L- cysteine from sulfate. The flavoprotein component catalyzes the electron flow from NADPH - FAD - FMN to the hemoprotein component (By similarity)
GL50803_17587	F	K01937	ctp synthase
GL50803_50163	T		Inherit from euNOG: multiple EGF-like-domains
GL50803_9870	B, K	K08286,K15503	ankyrin repeat, family A (RFXANK-like), 2
GL50803_114937	T	K08857	NIMA-related kinase
GL50803_15531	S	K14791	periodic tryptophan protein
GL50803_11930	K	K04706	Protein inhibitor of activated STAT
GL50803_114930	U		High cysteine membrane protein Group 1
GL50803_15535	O	K00809,K01190	deoxyhypusine synthase
GL50803_17591	Z	K11662	ACTIN
GL50803_15538	J	K03262,K10683	eukaryotic translation initiation factor
GL50803_11950	J	K01681,K02883,K09056	60S ribosomal protein l18
GL50803_11953	S	K05236	Coatomer protein complex subunit alpha
GL50803_60631	A	K14776	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10
GL50803_114915	O	K01365	cathepsin
GL50803_50165	O		proprotein convertase subtilisin kexin type
GL50803_86821	M		Ankyrin Repeat Protein
GL50803_14566	O	K01275	cathepsin
GL50803_14568	T	K06269	serine threonine-protein phosphatase
GL50803_7850	T	K12795	SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)
GL50803_112875			
GL50803_3746	S		Mediates binding to human platelets, possibly through a receptor-ligand interaction. Probably associated with virulence in endovascular infection (By similarity)
GL50803_8741	O	K01275	cathepsin
GL50803_8742	L		Endonuclease I
GL50803_8745	S		Ankyrin Repeat Protein
GL50803_112867	O	K07762,K08647	whole genome shotgun sequence
GL50803_28626			
GL50803_90131	T	K19613	soc-2 suppressor of clear homolog (C. elegans)
GL50803_6259	E	K15502	Ankyrin Repeat
GL50803_6262	Z	K04648,K10392,K10401,K11498	Kinesin family member
GL50803_23602	S	K14415	Catalytic subunit of the tRNA-splicing ligase complex that acts by directly joining spliced tRNA halves to mature-sized tRNAs by incorporating the precursor-derived splice junction phosphate into the mature tRNA as a canonical 3',5'- phosphodiester. May act as a RNA ligase with broad substrate specificity, and may function toward other RNAs (By similarity)
GL50803_102101	Z	K04648,K10392,K10401,K11498	Kinesin family member
GL50803_14934	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_9368	O	K04069	activating enzyme
GL50803_9365	T		mitogen-activated protein kinase kinase kinase
GL50803_20195	F	K01243,K18284	Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively (By similarity)
GL50803_102108	U	K04646,K12620	clathrin heavy chain
GL50803_112846	Z	K04648,K10392,K10401,K11498	Kinesin family member
GL50803_14963	S		Inherit from NOG: Viral A-type inclusion protein
GL50803_102110	S	K08254,K12472	oligomeric mucus gel-forming
GL50803_9493	S		Inherit from NOG: Viral A-type inclusion protein
GL50803_9492	S	K12472	Component of the spindle pole body (SPB) required for the proper execution of spindle pole body (SPB) duplication. Potential role in cross-linking filaments or anchoring other molecules. It is essential for growth (By similarity)
GL50803_91295	E	K14997	transmembrane amino acid transporter protein
GL50803_9489	U	K08517	SEC22 vesicle trafficking protein homolog
GL50803_9487	T	K00871,K00924,K08286	Serine Threonine protein kinase
GL50803_17073	D		serine threonine-protein kinase
GL50803_3868	S		Component of the spindle pole body (SPB) required for the proper execution of spindle pole body (SPB) duplication. Potential role in cross-linking filaments or anchoring other molecules. It is essential for growth (By similarity)
GL50803_3869	U	K08489	Syntaxin 16
GL50803_17074			
GL50803_2523			
GL50803_17075	S		AHNAK nucleoprotein
GL50803_2305			
GL50803_39843	P		Copper-transporting ATPase
GL50803_33592	S		WD domain, G-beta repeat
GL50803_91324	V	K14772	HEAT repeat protein
GL50803_13360	M	K17593	Ankyrin Repeat Protein
GL50803_112831	O	K01365	cathepsin
GL50803_17212	S	K02599	Notch ligand involved in the mediation of Notch signaling (By similarity)
GL50803_50169	O	K07762,K08647	whole genome shotgun sequence
GL50803_2925	O	K12462	Rho GDP dissociation inhibitor (GDI)
GL50803_17214	E	K14993,K14994	Solute carrier family 38 member
GL50803_32911	M		Ankyrin Repeat Protein
GL50803_86855	M		Ankyrin Repeat Protein
GL50803_15193			
GL50803_17216	T		Neurofibromin 1
GL50803_10382	S	K16603	Tubulin tyrosine ligase-like family, member
GL50803_15190	L	K03165	DNA topoisomerase
GL50803_10374	B, K		ankyrin repeat, family A (RFXANK-like), 2
GL50803_15187	S	K10144,K16276	ring finger and CHY zinc finger
GL50803_10370	S		atp gtp binding protein
GL50803_15184	M	K17593	Ankyrin Repeat Protein
GL50803_10367	J	K01008,K02974	40S ribosomal protein S24
GL50803_5188	M		Ankyrin Repeat Protein
GL50803_17219	E	K10645	Ankyrin Repeat
GL50803_7616	B, K	K15503	ankyrin repeat, family A (RFXANK-like), 2
GL50803_7615	L	K03165,K03168	DNA Topoisomerase
GL50803_14498	S	K16599	Tubulin tyrosine ligase-like family, member
GL50803_7610	S		expressed protein
GL50803_14497	O	K02728	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
GL50803_7608	S	K04308,K04309,K08399	LRR_TYP
GL50803_60647	S		TNFR
GL50803_d103992	O	K07762,K08647	whole genome shotgun sequence
GL50803_103992	O	K07762,K08647	whole genome shotgun sequence
GL50803_3209	O	K02734	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
GL50803_13288	S		coiled-coil domain containing 151
GL50803_16773	U	K15300	Syntaxin binding protein 2
GL50803_2486	F	K01485,K11991,K12951,K15441	deaminase
GL50803_16774	Z	K18626	Intermediate filament-associated protein that associates in regular arrays with keratin intermediate filaments (KIF) of the inner root sheath cells of the hair follicle and the granular layer of the epidermis. It later becomes cross-linked to KIF by isodipeptide bonds. It may serve as scaffold protein, together with involucrin, in the organization of the cell envelope or even anchor the cell envelope to the KIF network. It may be involved in its own calcium-dependent postsynthetic processing during terminal differentiation
GL50803_2825	A	K12845	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)
GL50803_103935	L	K01288,K10873,K10959	Dna repair
GL50803_2897	O		Proprotein convertase P-domain
GL50803_16570	T	K04348	serine threonine-protein phosphatase
GL50803_16569	B, K	K11414,K13206	NAD-dependent protein deacetylase which modulates the activities of several enzymes which are inactive in their acetylated form (By similarity)
GL50803_29304	O	K01363	tubulointerstitial nephritis
GL50803_10755	A	K12826	Splicing factor 3A subunit
GL50803_10756	E, G	K15287	solute carrier family 35 member
GL50803_15279	L	K03166,K10878	SPO11 meiotic protein covalently bound to DSB homolog (S. cerevisiae)
GL50803_15280	S	K00784,K15445	tRNA methyltransferase 10 homolog
GL50803_10765	L	K02210	dna replication licensing factor
GL50803_16568	K	K15979,K18405	Tudor domain containing
GL50803_29307	G	K00963,K01835,K02987,K17260,K17491	UTP-glucose-1-phosphate uridylyltransferase
GL50803_10775	L	K02328	dna polymerase delta
GL50803_10778	S		Peroxidase
GL50803_16567	T	K03456	HEAT repeat
GL50803_10780	J	K02978	40s ribosomal protein S27
GL50803_15284	S		Membrane
GL50803_10783	V	K01011	sulfurtransferase
GL50803_114042	U		High cysteine membrane protein Group 1
GL50803_3419	S		Inherit from NOG: AlNc14C359G10973
GL50803_3417	D		MOB family member 4, phocein
GL50803_91911	J	K03239	Translation initiation factor
GL50803_3589	J	K06134,K14561,K14820	ribosome biogenesis protein brx1
GL50803_91919	O	K09493	t-complex protein 1 subunit
GL50803_16998	S		Coiled-coil domain containing 151
GL50803_17000	O	K03768	PPIases accelerate the folding of proteins (By similarity)
GL50803_60667	O	K10591,K13305	neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase
GL50803_17003	S		Zinc finger protein
GL50803_13438	T	K08863,K15502,K15503	NIMA-related kinase
GL50803_3762	M		Ankyrin Repeat Protein
GL50803_3760	M		Ankyrin Repeat Protein
GL50803_32838	O	K07400	Nitrogen-fixing NifU domain protein
GL50803_5375	T	K08286,K08857	NimA-related protein kinase
GL50803_5374	O	K14835,K17262	tubulin folding cofactor B
GL50803_137606	S		VSP with INR
GL50803_10552			
GL50803_28657			
GL50803_8883			
GL50803_16558	T	K00888	Phosphatidylinositol 4kinase
GL50803_8886	Z	K10405	Kinesin family member
GL50803_14796		K17785	
GL50803_8892	A	K14557	rRNA processing protein Utp6
GL50803_86933	G	K05283	GPI anchor biosynthetic process
GL50803_86934	T	K04373,K07376	ribosomal protein s6 kinase
GL50803_112008	E	K09257	Ankyrin Repeat
GL50803_50181	O	K07762,K08647	whole genome shotgun sequence
GL50803_10429	S	K01262,K07050,K15730	Prostaglandin E synthase 3 (Cytosolic)
GL50803_10428	J	K02866	Ribosomal protein
GL50803_10423	O		AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (Yeast)
GL50803_4044	O	K06030	RING finger ubiquitin ligase
GL50803_4043	I		Nuclear export mediator factor
GL50803_100969			
GL50803_5866	S		Membrane
GL50803_5867	J	K01883	cysteinyltRNA synthetase
GL50803_14047	T, W		EGF-like domain
GL50803_5871	T	K06944	developmentally regulated GTP binding protein 2
GL50803_14048	Z	K10436	microtubule-associated protein RP EB family member
GL50803_14049	J	K02912,K07759,K17822	ribosomal protein L32'
GL50803_11311	T	K08286,K08857	NimA-related protein kinase
GL50803_16516	T	K14514	Xenotropic and polytropic retrovirus receptor 1
GL50803_11309	O	K07762,K08647	whole genome shotgun sequence
GL50803_15392	L	K10754	replication factor c
GL50803_36069	J	K02915	Ribosomal protein
GL50803_29487	O		Protein disulfide isomerase
GL50803_11301	F	K00940	nucleoside diphosphate kinase
GL50803_11299	S		Transmembrane amino acid transporter protein
GL50803_11290	T	K02202,K08817,K10267	Cyclin-Dependent Kinase
GL50803_16512	L	K10843	Dna repair helicase
GL50803_11287	A	K12845	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)
GL50803_15386	S	K15529	appr-1-p processing domain protein
GL50803_40016	S		Ankyrin Repeat
GL50803_40014	M		Ankyrin Repeat Protein
GL50803_90343	T	K08867	WNK lysine deficient protein kinase
GL50803_4156	T	K01518,K02503,K03099	histidine triad nucleotide binding protein
GL50803_4155	K	K03023	DNA-directed RNA polymerase III subunit RPC3-like
GL50803_13550	T	K16733	Rac GTPase activating protein 1
GL50803_4149	C	K02145	Vacuolar membrane ATPase subunit a
GL50803_24537			
GL50803_40005	M	K10329	Ankyrin Repeat Protein
GL50803_101307	T	K04373,K07376	ribosomal protein s6 kinase
GL50803_16371	H	K06210,K06943,K11269	Involved in the biogenesis of the 60S ribosomal subunit (By similarity)
GL50803_13735	S		Ankyrin Repeat
GL50803_16370	L	K11665	chromatin modification
GL50803_14573	S	K06252	WNT inhibitory factor 1
GL50803_7865	E	K01424,K13278	L-asparaginase
GL50803_16368	J	K02910	ribosomal protein
GL50803_33685	U		ARM
GL50803_7870	J	K02893	Ribosomal protein
GL50803_7871	C	K01512	Acylphosphatase (EC 3.6.1.7)
GL50803_7874	Z	K10394	Kinesin family member
GL50803_7875	S		PARK2 co-regulated
GL50803_7878	J	K02955	Ribosomal protein S14
GL50803_16367			
GL50803_d101307	T	K04373,K07376	ribosomal protein s6 kinase
GL50803_9548	O	K01365	cathepsin
GL50803_16380	O		cathepsin
GL50803_14983	O		cathepsin
GL50803_9558	S	K07874,K07910	member RAS oncogene family
GL50803_14984			
GL50803_87022	A	K12854,K18663,K18664	helicase
GL50803_8682	G	K00036,K01057,K13937,K15361	glucose-6-phosphate 1-dehydrogenase
GL50803_14759	G	K00033	Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH (By similarity)
GL50803_8687	S	K06252	WNT inhibitory factor 1
GL50803_8691	J	K07442	tRNA methyltransferase 61 homolog
GL50803_96460	J	K01872	alanyl-tRNA synthetase
GL50803_137609	K	K03013	Dna-directed RNA
GL50803_137608	S		regulation of RNA biosynthetic process
GL50803_16660	S	K16474	Intraflagellar transport 88 homolog (Chlamydomonas)
GL50803_9922	L	K10746	Exonuclease
GL50803_16659	O	K03036	26S Proteasome non-ATPase regulatory subunit
GL50803_15078	E	K01872,K07050	alanyl-tRNA synthetase domain containing 1
GL50803_9912	J	K18758	DIS3 mitotic control homolog (S
GL50803_9909	G	K01006,K01007	pyruvate phosphate dikinase (EC 2.7.9.1)
GL50803_15077	Q	K14553,K16329,K16330	IdgA domain protein
GL50803_16658	A		ribosomal RNA processing 1 homolog B (S. cerevisiae)
GL50803_9899	J	K15026	Eukaryotic translation initiation factor eIF2A
GL50803_9894	A	K11583	Protein phosphatase 2, regulatory subunit B
GL50803_23756	K	K09391	E2F transcription factor
GL50803_31309	T		serine threonineprotein phosphatase
GL50803_5812	S		VSP with INR
GL50803_5811	T	K07179	serine threonine-protein kinase
GL50803_16110	A	K15463	tRNA A64-2'-O-ribosylphosphate transferase
GL50803_16111	J	K12595,K14416	elongation Factor
GL50803_113357	O	K07762,K08647	whole genome shotgun sequence
GL50803_91198	U	K12394	adaptor-related protein complex 1 sigma
GL50803_2622	E		MORN repeat containing
GL50803_21527			
GL50803_16406	O	K09506	DnaJ (Hsp40) homolog, subfamily C, member 21
GL50803_113365	D, L	K12618,K12619	5-3 exoribonuclease 1
GL50803_100959	S		Putative methyltransferase
GL50803_6404	Z	K03678,K10397	Kinesin family member
GL50803_16407	M		Ankyrin Repeat Protein
GL50803_91220	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_100955	D	K02537	mitotic spindle
GL50803_60727	S	K17878	nicotinamide n-methyltransferase
GL50803_16411	T	K02183	Calcium binding protein
GL50803_16412	O		heat shock
GL50803_137620	S		VSP with INR
GL50803_10358	C		Type A flavoprotein
GL50803_10361	O	K07767	katanin p60
